Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"August 9, 2022 - August 9, 2023"
Statement,Data,WhenGenerated,"2023-08-10, 07:09:01 EDT"
Dividends,Header,Currency,Date,Description,Amount
Withholding Tax,Data,USD,2022-12-23,DFIV(US25434V8072) Cash Dividend USD 0.294642 per Share - US Tax,-1.28,
Withholding Tax,Data,USD,2022-12-23,DFUS(US25434V4014) Payment in Lieu of Dividend - US Tax,-0.14,
Withholding Tax,Data,USD,2022-12-23,DFUS(US25434V4014) Cash Dividend USD 0.191819 per Share - US Tax,-0.49,
Withholding Tax,Data,USD,2022-12-23,EQAL(US46138E4200) Cash Dividend USD 0.16045 per Share - US Tax,-0.29,
Withholding Tax,Data,USD,2022-12-28,RODE(US5184166073) Cash Dividend USD 0.65 per Share - US Tax,-3.51,
Withholding Tax,Data,USD,2022-12-28,RODM(US5184161025) Cash Dividend USD 0.236317 per Share - US Tax,-2.84,
Withholding Tax,Data,USD,2022-12-28,VBR(US9229086114) Payment in Lieu of Dividend - US Tax,-1.17,
Withholding Tax,Data,USD,2022-12-29,DON(US97717W5058) Cash Dividend USD 0.19594 per Share - US Tax,-1.76,
Withholding Tax,Data,USD,2022-12-29,SPEM(US78463X5095) Cash Dividend USD 0.653928 per Share - US Tax,-2.94,
Withholding Tax,Data,USD,2023-01-06,IQIN(US45409B3621) Cash Dividend USD 0.33687 per Share - US Tax,-1.72,
Withholding Tax,Data,USD,2023-01-30,DON(US97717W5058) Cash Dividend USD 0.005 per Share - US Tax,-0.05,
Withholding Tax,Data,USD,2023-02-27,DON(US97717W5058) Cash Dividend USD 0.01 per Share - US Tax,-0.09,
Withholding Tax,Data,USD,2023-03-23,VLU(US78464A1280) Payment in Lieu of Dividend - US Tax,-3.43,
Withholding Tax,Data,USD,2023-03-23,VWO(US9220428588) Cash Dividend USD 0.0281 per Share - US Tax,-0.11,
Withholding Tax,Data,USD,2023-03-24,DFAE(US25434V3024) Payment in Lieu of Dividend - US Tax,-0.09,
Withholding Tax,Data,USD,2023-03-24,DFAI(US25434V2034) Cash Dividend USD 0.090213 per Share - US Tax,-0.3,
Withholding Tax,Data,USD,2023-03-24,DFAS(US25434V5003) Cash Dividend USD 0.103041 per Share - US Tax,-0.17,
Withholding Tax,Data,USD,2023-03-24,DFAT(US25434V6092) Payment in Lieu of Dividend - US Tax,-1.3,
Withholding Tax,Data,USD,2023-03-24,DFIV(US25434V8072) Cash Dividend USD 0.141257 per Share - US Tax,-0.62,
Withholding Tax,Data,USD,2023-03-24,DFUS(US25434V4014) Cash Dividend USD 0.133656 per Share - US Tax,-0.44,
Withholding Tax,Data,USD,2023-03-24,EQAL(US46138E4200) Cash Dividend USD 0.19767 per Share - US Tax,-0.36,
Withholding Tax,Data,USD,2023-03-28,VBR(US9229086114) Cash Dividend USD 0.8916 per Share - US Tax,-0.94,
Withholding Tax,Data,USD,2023-03-29,IJS(US4642878791) Cash Dividend USD 0.32973 per Share - US Tax,-0.99,
Withholding Tax,Data,USD,2023-03-29,ISCV(US4642887032) Cash Dividend USD 0.295927 per Share - US Tax,-3.55,
Withholding Tax,Data,USD,2023-03-30,DON(US97717W5058) Cash Dividend USD 0.20 per Share - US Tax,-1.65,
Withholding Tax,Data,USD,2023-03-30,DON(US97717W5058) Payment in Lieu of Dividend - US Tax,-0.15,
Withholding Tax,Data,USD,2023-04-27,DON(US97717W5058) Payment in Lieu of Dividend - US Tax,-0.41,
Withholding Tax,Data,USD,2023-05-30,DON(US97717W5058) Cash Dividend USD 0.115 per Share - US Tax,-1.04,
Withholding Tax,Data,USD,2023-06-13,IEMG(US46434G1031) Cash Dividend USD 0.483153 per Share - US Tax,-1.45,
Withholding Tax,Data,USD,2023-06-13,IJS(US4642878791) Cash Dividend USD 0.3943 per Share - US Tax,-1.18,
Withholding Tax,Data,USD,2023-06-13,ISCV(US4642887032) Cash Dividend USD 0.268855 per Share - US Tax,-3.23,
Withholding Tax,Data,USD,2023-06-23,AVDV(US0250728021) Cash Dividend USD 1.1645 per Share - US Tax,-17.47,
Withholding Tax,Data,USD,2023-06-23,VLU(US78464A1280) Cash Dividend USD 0.807269 per Share - US Tax,-3.63,
Withholding Tax,Data,USD,2023-06-23,VWO(US9220428588) Cash Dividend USD 0.2267 per Share - US Tax,-0.85,
Withholding Tax,Data,USD,2023-06-26,DFAE(US25434V3024) Cash Dividend USD 0.176416 per Share - US Tax,-0.5,
Withholding Tax,Data,USD,2023-06-26,DFAI(US25434V2034) Cash Dividend USD 0.354792 per Share - US Tax,-1.17,
Withholding Tax,Data,USD,2023-06-26,DFAS(US25434V5003) Cash Dividend USD 0.162106 per Share - US Tax,-0.27,
Withholding Tax,Data,USD,2023-06-26,DFAT(US25434V6092) Cash Dividend USD 0.197111 per Share - US Tax,-2.01,
Withholding Tax,Data,USD,2023-06-26,DFIV(US25434V8072) Cash Dividend USD 0.586871 per Share - US Tax,-2.55,
Withholding Tax,Data,USD,2023-06-26,DFUS(US25434V4014) Cash Dividend USD 0.159 per Share - US Tax,-0.53,
Withholding Tax,Data,USD,2023-06-26,SCHC(US8085248883) Cash Dividend USD 0.165 per Share - US Tax,-0.74,
Withholding Tax,Data,USD,2023-06-26,SCHE(US8085247067) Cash Dividend USD 0.1273 per Share - US Tax,-0.67,
Withholding Tax,Data,USD,2023-06-27,SPEM(US78463X5095) Cash Dividend USD 0.445964 per Share - US Tax,-2.01,
Withholding Tax,Data,USD,2023-06-28,VBR(US9229086114) Cash Dividend USD 0.8874 per Share - US Tax,-0.93,
Withholding Tax,Data,USD,2023-06-29,DON(US97717W5058) Cash Dividend USD 0.12 per Share - US Tax,-1.08,
Withholding Tax,Data,USD,2023-07-06,IQIN(US45409B3621) Cash Dividend USD 0.79514 per Share - US Tax,-4.05,
Withholding Tax,Data,USD,2023-07-28,DON(US97717W5058) Cash Dividend USD 0.05 per Share - US Tax,-0.45,
Withholding Tax,Data,Total,,,-133.65,
Withholding Tax,Data,Total in EUR,,,-126.1299725,
