Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 28, 2022 - January 5, 2023"
Dividends,Data,USD,2022-09-28,VHYD(IE00B8GKDB10) Cash Dividend USD 0.493778 per Share (Mixed Income),49.38
Dividends,Data,USD,2022-09-28,VJPN(IE00B95PGT31) Cash Dividend USD 0.041201 per Share (Mixed Income),4.12
Dividends,Data,USD,2022-09-29,DON(US97717W5058) Cash Dividend USD 0.12 per Share (Ordinary Dividend),7.2
Dividends,Data,USD,2022-09-30,IJS(US4642878791) Cash Dividend USD 0.510586 per Share (Ordinary Dividend),10.21
Dividends,Data,USD,2022-09-30,ISCV(US4642887032) Cash Dividend USD 0.341535 per Share (Ordinary Dividend),27.32
Dividends,Data,USD,2022-10-28,DON(US97717W5058) Cash Dividend USD 0.05 per Share (Ordinary Dividend),3
Dividends,Data,USD,2022-11-29,DON(US97717W5058) Cash Dividend USD 0.15 per Share (Ordinary Dividend),9
Dividends,Data,USD,2022-12-12,SCHC(US8085248883) Cash Dividend USD 0.5605 per Share (Ordinary Dividend),16.82
Dividends,Data,USD,2022-12-12,SCHE(US8085247067) Cash Dividend USD 0.6052 per Share (Ordinary Dividend),21.18
Dividends,Data,USD,2022-12-19,IEMG(US46434G1031) Cash Dividend USD 0.658887 per Share (Ordinary Dividend),13.18
Dividends,Data,USD,2022-12-19,IJS(US4642878791) Cash Dividend USD 0.257752 per Share (Ordinary Dividend),5.16
Dividends,Data,USD,2022-12-19,ISCV(US4642887032) Payment in Lieu of Dividend (Ordinary Dividend),3.33
Dividends,Data,USD,2022-12-19,ISCV(US4642887032) Cash Dividend USD 0.33273 per Share (Ordinary Dividend),23.29
Dividends,Data,USD,2022-12-20,AVDV(US0250728021) Payment in Lieu of Dividend (Ordinary Dividend),11.41
Dividends,Data,USD,2022-12-20,AVDV(US0250728021) Cash Dividend USD 0.7604 per Share (Ordinary Dividend),64.63
Dividends,Data,USD,2022-12-22,FLLA(US35473P5614) Cash Dividend USD 1.075421 per Share (Ordinary Dividend),25.81
Dividends,Data,USD,2022-12-22,VLU(US78464A1280) Cash Dividend USD 0.785013 per Share (Ordinary Dividend),0.79
Dividends,Data,USD,2022-12-22,VLU(US78464A1280) Payment in Lieu of Dividend (Ordinary Dividend),22.77
Dividends,Data,USD,2022-12-22,VWO(US9220428588) Cash Dividend USD 0.6347 per Share (Ordinary Dividend),15.87
Dividends,Data,USD,2022-12-23,DFAE(US25434V3024) Payment in Lieu of Dividend (Ordinary Dividend),0.64
